method,participant,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
DET-CLEAN-WRONG-8,7,0.05513789535624273,0.6145121256510416,0.12967282817133804,0.3468330858674824,0.20833333333333334,0.8842955680452856
DET-CLEAN-WRONG-8,9,0.034512727871465414,0.6713932653268179,0.10277018893473723,0.24713783645562037,0.35833333333333334,0.911158289898698
DET-CLEAN-WRONG-9,1,0.05421476965492419,0.5997180342674255,0.11087202691662179,0.34197316163527436,0.49583333333333335,0.8991604332565694
DET-CLEAN-WRONG-9,2,0.04295483743131285,0.6134482522805532,0.19246034940994683,0.41998293673736553,0.09999999999999998,0.8241932709664367
DET-CLEAN-WRONG-9,3,0.05618320170390767,0.763276552160581,0.06916115192198667,0.14731792474624,-0.005555555555555573,0.9340623544168706
DET-CLEAN-WRONG-9,4,0.04441884221426151,0.725182111064593,0.09149526691549219,0.2356045435610302,0.7262750455373407,0.936688290577488
DET-CLEAN-WRONG-9,5,0.05987644386750925,0.556496391693751,0.15728618597169816,0.3949138575248103,0.6228445534659762,0.850480003082016
DET-CLEAN-WRONG-9,6,0.13490191014406205,0.49311742186546326,0.10379426200582782,0.45463825569848554,0.34722222222222215,0.8755215835029003
DET-CLEAN-WRONG-9,7,0.05383525426409955,0.6048380235830942,0.16789391610735796,0.3805585489529666,0.17499999999999996,0.849242654175466
DET-CLEAN-WRONG-9,8,0.06376048549995411,0.7590464601914088,0.08660008163129453,0.17026564711428796,0.4583333333333333,0.9546891837423553
DET-CLEAN-WRONG-op,1,0.05378468651125349,0.6054027229547501,0.08452011690610721,0.30484954442669837,0.5125,0.9249208626855112
DET-CLEAN-WRONG-op,2,0.04268418632691227,0.6252440810203552,0.16006467452237516,0.39108754865475975,0.07222222222222223,0.85526791227371
DET-CLEAN-WRONG-op,3,0.04734650783928731,0.7819650620222092,0.0588698471776106,0.11660889363303321,0.02499999999999995,0.9470187413046579
DET-CLEAN-WRONG-op,4,0.04488604065192423,0.7244388361771902,0.07636115607777531,0.20869225611714692,0.7454007285974499,0.9449820507312223
DET-CLEAN-WRONG-op,5,0.05778444428466539,0.5566935241222382,0.12004971944528271,0.34910514474021975,0.6214285714285714,0.8800128380699065
