method,participant,rrmse_temporal,seed
DET_MATCH,sub-18,0.8781626317391379,20260810
DET_POP,sub-18,0.8706718846030223,20260810
DET_WRONG,sub-18,0.8673661075978696,20260810
RAW,sub-18,1.1339998808301366,20260810
SCAD_MATCH,sub-18,1.016603284321415,20260810
SCAD_NO_CONTEXT,sub-18,1.0195144030019745,20260810
SCAD_POP,sub-18,1.0076656398337542,20260810
SCAD_WRONG,sub-18,1.0146019664373145,20260810
STANDARD,sub-18,1.1339998808301366,20260810
DET_MATCH,sub-18,0.8675689132004563,20260811
DET_POP,sub-18,0.8698051924228719,20260811
DET_WRONG,sub-18,0.8642492237300352,20260811
RAW,sub-18,1.1339998808301366,20260811
SCAD_MATCH,sub-18,0.9898505289133431,20260811
SCAD_NO_CONTEXT,sub-18,0.9781815544378736,20260811
SCAD_POP,sub-18,0.9893513540640317,20260811
SCAD_WRONG,sub-18,0.9790134544891771,20260811
STANDARD,sub-18,1.1339998808301366,20260811
DET_MATCH,sub-19,1.6359874666830163,20260808
DET_POP,sub-19,1.6367063205365817,20260808
DET_WRONG,sub-19,1.6322999953214699,20260808
EEGDFUS_UNIFIED,sub-19,1.7061478896195896,20260808
RAW,sub-19,1.9236226272219534,20260808
SCAD_MATCH,sub-19,1.7750178462010808,20260808
SCAD_MATCH_DDIM10,sub-19,1.7800965924495056,20260808
SCAD_MATCH_DDIM50,sub-19,1.769068347228717,20260808
SCAD_NO_CONTEXT,sub-19,1.7685275028407987,20260808
SCAD_NO_RANK_MATCH,sub-19,1.7727175546881175,20260808
SCAD_POP,sub-19,1.796219867773794,20260808
SCAD_V_MATCH,sub-19,2.1701802371082723,20260808
SCAD_WRONG,sub-19,1.7893304636559657,20260808
STANDARD,sub-19,1.9236226272219534,20260808
DET_MATCH,sub-19,1.6443723820622027,20260810
DET_POP,sub-19,1.6431991664285304,20260810
DET_WRONG,sub-19,1.6452862000765487,20260810
RAW,sub-19,1.9236226272219534,20260810
SCAD_MATCH,sub-19,1.7430966399163785,20260810
SCAD_NO_CONTEXT,sub-19,1.7095600009423733,20260810
SCAD_POP,sub-19,1.7278859194743243,20260810
SCAD_WRONG,sub-19,1.7112948579112222,20260810
STANDARD,sub-19,1.9236226272219534,20260810
DET_MATCH,sub-19,1.6354798577570666,20260811
DET_POP,sub-19,1.6370269893765605,20260811
DET_WRONG,sub-19,1.6442478402912255,20260811
RAW,sub-19,1.9236226272219534,20260811
SCAD_MATCH,sub-19,1.7426627488457598,20260811
SCAD_NO_CONTEXT,sub-19,1.7030882837781167,20260811
SCAD_POP,sub-19,1.7319032947028368,20260811
SCAD_WRONG,sub-19,1.7335953488848947,20260811
STANDARD,sub-19,1.9236226272219534,20260811
DET_MATCH,sub-21,0.9864374626971161,20260808
DET_POP,sub-21,0.9882883646965235,20260808
DET_WRONG,sub-21,0.9839960055671529,20260808
EEGDFUS_UNIFIED,sub-21,1.0647055020154867,20260808
RAW,sub-21,1.318575936327559,20260808
SCAD_MATCH,sub-21,1.145688093551952,20260808
SCAD_MATCH_DDIM10,sub-21,1.1498066355513097,20260808
SCAD_MATCH_DDIM50,sub-21,1.1405194768449292,20260808
SCAD_NO_CONTEXT,sub-21,1.1268152384113312,20260808
SCAD_NO_RANK_MATCH,sub-21,1.1433408792169453,20260808
SCAD_POP,sub-21,1.1450850456280426,20260808
SCAD_V_MATCH,sub-21,1.5245247600897627,20260808
SCAD_WRONG,sub-21,1.139346402655873,20260808
STANDARD,sub-21,1.318575936327559,20260808
DET_MATCH,sub-21,0.9934869735475838,20260810
DET_POP,sub-21,0.9884663210767839,20260810
DET_WRONG,sub-21,0.993137455260795,20260810
RAW,sub-21,1.318575936327559,20260810
SCAD_MATCH,sub-21,1.0731669271739923,20260810
SCAD_NO_CONTEXT,sub-21,1.0556370671579822,20260810
SCAD_POP,sub-21,1.0708260682683128,20260810
SCAD_WRONG,sub-21,1.0725744066617657,20260810
STANDARD,sub-21,1.318575936327559,20260810
DET_MATCH,sub-21,1.0058768905647513,20260811
DET_POP,sub-21,0.9979733549407683,20260811
DET_WRONG,sub-21,0.9996595911798067,20260811
RAW,sub-21,1.318575936327559,20260811
SCAD_MATCH,sub-21,1.0783895197091624,20260811
SCAD_NO_CONTEXT,sub-21,1.0500852411302428,20260811
SCAD_POP,sub-21,1.0725958282774728,20260811
SCAD_WRONG,sub-21,1.0720250984951336,20260811
STANDARD,sub-21,1.318575936327559,20260811
DET_MATCH,sub-23,0.5106491399605552,20260808
DET_POP,sub-23,0.5112963401576659,20260808
DET_WRONG,sub-23,0.5102290540752519,20260808
EEGDFUS_UNIFIED,sub-23,0.5541013113785691,20260808
RAW,sub-23,0.6467135698880561,20260808
SCAD_MATCH,sub-23,0.6077675830585778,20260808
SCAD_MATCH_DDIM10,sub-23,0.6089777796716791,20260808
SCAD_MATCH_DDIM50,sub-23,0.6057413892445362,20260808
SCAD_NO_CONTEXT,sub-23,0.6027649853462611,20260808
SCAD_NO_RANK_MATCH,sub-23,0.606280905281892,20260808
SCAD_POP,sub-23,0.6081038793102683,20260808
SCAD_V_MATCH,sub-23,1.162220218406421,20260808
SCAD_WRONG,sub-23,0.6083272975099843,20260808
STANDARD,sub-23,0.6467135698880561,20260808
DET_MATCH,sub-23,0.5104327802594828,20260810
DET_POP,sub-23,0.5120634806743409,20260810
DET_WRONG,sub-23,0.5118487649257684,20260810
RAW,sub-23,0.6467135698880561,20260810
SCAD_MATCH,sub-23,0.5609283214855371,20260810
SCAD_NO_CONTEXT,sub-23,0.5737051870787077,20260810
SCAD_POP,sub-23,0.5719807600770663,20260810
SCAD_WRONG,sub-23,0.5831955198276166,20260810
STANDARD,sub-23,0.6467135698880561,20260810
DET_MATCH,sub-23,0.5218923016121455,20260811
DET_POP,sub-23,0.5184470406836934,20260811
DET_WRONG,sub-23,0.5194045352270931,20260811
RAW,sub-23,0.6467135698880561,20260811
SCAD_MATCH,sub-23,0.5321100443882945,20260811
SCAD_NO_CONTEXT,sub-23,0.5266184765577135,20260811
SCAD_POP,sub-23,0.5340297905042664,20260811
SCAD_WRONG,sub-23,0.5387393333059866,20260811
STANDARD,sub-23,0.6467135698880561,20260811
