budget_seconds,fold_id,fold_cluster,study,recording_key,eligible,calibration_samples,status,arm,support_reliability,oracle_lambda,deployable_lambda,composite_distance,normalized_frobenius,frequency_magnitude,frequency_phase,common_eog_response,wrong_donor_count,mean_wrong_composite_distance
60.0,study05_layout_05_heldout_02,23,study05,study05/study05_p43,True,15360,success,EB_DEPLOYABLE,0.4199110561459981,0.38,0.7015760066266843,0.8082902946458798,0.4970560095970628,0.2802274284409679,0.3844317051503879,0.48961969568987307,1,1.106342517396934
60.0,study05_layout_05_heldout_02,23,study05,study05/study05_p44,True,15360,success,MATCH,0.5703255107966291,0.43,0.9190762804601988,0.8699983889105896,0.5563100840056664,0.2854901774705629,0.40512896668603915,0.5439953147714227,1,1.2077755918548392
60.0,study05_layout_05_heldout_02,23,study05,study05/study05_p44,True,15360,success,POP,0.5703255107966291,0.43,0.9190762804601988,0.8644181074797537,0.44493831685413926,0.2847345380712244,0.2757180304722095,0.5521117663613083,1,1.2077755918548392
60.0,study05_layout_05_heldout_02,23,study05,study05/study05_p44,True,15360,success,EB_ORACLE,0.5703255107966291,0.43,0.9190762804601988,0.7821699039970451,0.416345129896752,0.24725241720707306,0.27007014777716654,0.5079104720122554,1,1.2077755918548392
60.0,study05_layout_05_heldout_02,23,study05,study05/study05_p44,True,15360,success,EB_DEPLOYABLE,0.5703255107966291,0.43,0.9190762804601988,0.8493704096623513,0.5338551030647087,0.2786445706763662,0.3819055866933518,0.5325352803166499,1,1.2077755918548392
60.0,study05_layout_05_heldout_03,24,study05,study05/study05_p45,True,15360,success,MATCH,0.5154654160140966,0.64,0.48907979156853426,0.6798628085965597,0.4098736652228748,0.21929430779823142,0.5471633382913337,0.40585216696919485,1,1.33236830110458
60.0,study05_layout_05_heldout_03,24,study05,study05/study05_p45,True,15360,success,POP,0.5154654160140966,0.64,0.48907979156853426,0.7953152906398708,0.4586842177743754,0.2796624270899449,0.5326372369785722,0.46238913985206875,1,1.33236830110458
60.0,study05_layout_05_heldout_03,24,study05,study05/study05_p45,True,15360,success,EB_ORACLE,0.5154654160140966,0.64,0.48907979156853426,0.6299833353752399,0.37323370489218977,0.2064949116740443,0.48196473075338586,0.37529195062585696,1,1.33236830110458
60.0,study05_layout_05_heldout_03,24,study05,study05/study05_p45,True,15360,success,EB_DEPLOYABLE,0.5154654160140966,0.64,0.48907979156853426,0.6407125834282003,0.3728836026222382,0.21212715461713275,0.48138589378263447,0.38044683943280405,1,1.33236830110458
60.0,study05_layout_05_heldout_03,24,study05,study05/study05_p46,True,15360,success,MATCH,0.3852468509276151,0.67,0.7846071744424766,1.180936982301275,0.8369754605659254,0.35839092747906626,0.533370890302875,0.7692089657919213,1,1.4430528118136585
