fold,participant,query_index,family,context,donor,selected_codes,observable_only
4,2,6,facial_emg,POP,,p20:03;p13:13;p26:11;p16:15;p13:05;p08:09;p08:11;p21:06,1
4,2,6,facial_emg,MATCH,2,p02:02;p02:15;p02:03;p02:01;p02:10;p02:13;p02:04;p02:11,1
4,2,7,head_motion,WRONG,6,p06:03;p06:05;p06:09;p06:04;p06:08;p06:14;p06:11;p06:02,1
4,2,7,head_motion,WRONG,23,p23:11;p23:04;p23:06;p23:13;p23:07;p23:00;p23:14;p23:02,1
4,2,7,head_motion,WRONG,27,,1
4,2,7,head_motion,POP,,p08:09;p13:03;p01:03;p13:15;p20:03;p20:02;p26:07;p26:01,1
4,2,7,head_motion,MATCH,2,p02:15;p02:13;p02:06;p02:07;p02:03;p02:02;p02:11;p02:10,1
4,2,7,chewing,WRONG,6,p06:10;p06:04;p06:08;p06:12;p06:05;p06:11;p06:14;p06:02,1
4,2,7,chewing,WRONG,23,p23:04;p23:00;p23:06;p23:07;p23:13;p23:08;p23:02;p23:14,1
4,2,7,chewing,WRONG,27,,1
4,2,7,chewing,POP,,p01:03;p26:05;p26:14;p08:11;p08:05;p20:03;p26:01;p26:07,1
4,2,7,chewing,MATCH,2,p02:05;p02:14;p02:13;p02:07;p02:02;p02:03;p02:11;p02:10,1
4,2,7,tongue,WRONG,6,p06:08;p06:00;p06:14;p06:03;p06:04;p06:09;p06:11;p06:02,1
4,2,7,tongue,WRONG,23,p23:04;p23:14;p23:05;p23:06;p23:07;p23:00;p23:13;p23:02,1
4,2,7,tongue,WRONG,27,,1
4,2,7,tongue,POP,,p20:02;p21:10;p13:15;p21:03;p21:12;p26:01;p08:09;p13:03,1
4,2,7,tongue,MATCH,2,p02:05;p02:15;p02:07;p02:03;p02:13;p02:11;p02:10;p02:02,1
4,2,7,swallowing,WRONG,6,p06:08;p06:01;p06:04;p06:12;p06:14;p06:09;p06:11;p06:02,1
4,2,7,swallowing,WRONG,23,p23:05;p23:04;p23:14;p23:13;p23:06;p23:00;p23:07;p23:02,1
4,2,7,swallowing,WRONG,27,,1
4,2,7,swallowing,POP,,p21:02;p20:02;p13:03;p21:03;p26:07;p26:01;p01:10;p08:09,1
4,2,7,swallowing,MATCH,2,p02:00;p02:05;p02:03;p02:07;p02:11;p02:13;p02:02;p02:10,1
4,2,7,facial_emg,WRONG,6,p06:08;p06:00;p06:04;p06:12;p06:14;p06:09;p06:11;p06:02,1
4,2,7,facial_emg,WRONG,23,p23:04;p23:03;p23:06;p23:13;p23:14;p23:00;p23:07;p23:02,1
4,2,7,facial_emg,WRONG,27,,1
4,2,7,facial_emg,POP,,p26:05;p13:15;p21:03;p13:03;p26:07;p01:10;p26:01;p08:09,1
