seed,subject,protocol,context,uncertainty_mean,latent_uncertainty_mean,preservation,covariance,eog_attenuation,mi_kappa,low_eog_fraction
20260810,3,same_01,POP,0.0763474777340889,0.008931831456720829,0.8361659944057465,0.13055962062115914,0.12176946202232977,0.06666666666666665,0.3
20260810,3,same_01,WRONG,0.0766233429312706,0.008964461274445057,0.8327393531799316,0.1313719653269404,0.1288209946490598,0.06666666666666665,0.3
20260810,3,same_02,MATCH,0.07788011431694031,0.00856150221079588,0.7875143736600876,0.13753994248571322,0.15746770988717562,0.16666666666666663,0.3
20260810,3,same_02,POP,0.07810724526643753,0.008587074466049671,0.8142641186714172,0.1286314954799621,0.14432995188323763,0.06666666666666665,0.3
20260810,3,same_02,WRONG,0.07848457247018814,0.008628783747553825,0.8105206489562988,0.12672185371941475,0.14883814222868783,0.06666666666666665,0.3
20260810,3,same_03,MATCH,0.07696907222270966,0.008428780362010002,0.8248038440942764,0.1256538707672429,0.07623948812593478,-0.125,0.3
20260810,3,same_03,POP,0.0770559310913086,0.008438656106591225,0.803275004029274,0.13378886393729458,0.08322208742997395,-0.10000000000000009,0.3
20260810,3,same_03,WRONG,0.07738512754440308,0.00847497396171093,0.8452423512935638,0.11589648574125012,0.0738279998514271,-0.125,0.3
20260810,4,same_01,MATCH,0.0704437792301178,0.0080191008746624,0.7752725929021835,0.11880411152675974,0.16331744176773944,0.6333333333333333,0.3
20260810,4,same_01,POP,0.0703556165099144,0.008009033277630806,0.7886146754026413,0.12055218531363882,0.1587011063393557,0.6333333333333333,0.3
20260810,4,same_01,WRONG,0.07041154056787491,0.00801539234817028,0.778838574886322,0.11667866851735102,0.1604974937489142,0.6,0.3
20260810,4,same_02,MATCH,0.06860330700874329,0.008040019311010838,0.787133514881134,0.1036537058782504,0.14230031183068934,0.7990155865463495,0.3
20260810,4,same_02,POP,0.06850551813840866,0.008028544485569,0.8015703707933426,0.10213942572644735,0.13182305071788417,0.8278688524590163,0.3
20260810,4,same_02,WRONG,0.06859645992517471,0.008039193227887154,0.7867361158132553,0.10247661551080556,0.14150333067224152,0.7701149425287356,0.3
20260810,4,same_03,MATCH,0.07166730612516403,0.008155426941812038,0.8075176030397415,0.10191405254280013,0.05776109093509629,0.9,0.3
20260810,4,same_03,POP,0.07171513140201569,0.00816092174500227,0.7363210916519165,0.11068929561741209,0.02736753946479037,0.9,0.3
20260810,4,same_03,WRONG,0.07169704139232635,0.008158775046467781,0.8178112357854843,0.09777354697615952,0.05471196135985269,0.85,0.3
