package,seed,participant,protocol,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
POP8-D120,20260808,9,same_03,DIFF-WRONG8-1,0.05769111583763334,0.6724873781204224,0.07095679328012215,0.14369689250792692,0.65,0.9462057733208767
POP8-D120,20260808,9,same_03,DIFF-WRONG8-2,0.033204844168327946,0.6033957898616791,0.0766255012395377,0.1433299234982928,0.6,0.9509061903875009
POP8-D120,20260808,9,same_03,DIFF-WRONG8-3,0.04050733896750294,0.6398332118988037,0.0713099397014194,0.13493678515111296,0.7,0.9487208142980836
POP8-D120,20260808,9,same_03,DIFF-WRONG8-4,0.0477153004039792,0.6516638994216919,0.07447654137899558,0.14061261464604044,0.675,0.9443601883807484
POP8-D120,20260808,9,same_03,DIFF-WRONG8-5,0.05232458811216123,0.6256621479988098,0.07510184560671027,0.1455473038999858,0.7,0.9479479951922856
POP8-D120,20260808,9,same_03,DIFF-WRONG8-6,0.0372792299298049,0.6059577763080597,0.07559135890107138,0.1412024265253885,0.7,0.9512614179403236
POP8-D120,20260808,9,same_03,DIFF-WRONG8-7,0.04510253737038916,0.649714857339859,0.06842848967478266,0.14567253347416823,0.625,0.9508613312871694
POP8-D120,20260808,9,same_03,DIFF-WRONG8-8,0.042213930355521595,0.6340044438838959,0.07678421543726846,0.13819754020434474,0.65,0.9428423184466775
OPPOST,20260808,9,same_01,OPPOST-POP,0.08861846099736324,0.8021010309457779,0.05765920535179093,0.06812472363191002,0.33333333333333337,0.9544043792955046
OPPOST,20260808,9,same_01,OPPOST-MATCH,0.08590710478389427,0.8181055337190628,0.054017993293516295,0.05331177646282554,0.30000000000000004,0.9559762301815494
OPPOST,20260808,9,same_01,OPPOST-WRONG-1,0.07549115302081866,0.8325096219778061,0.04758743468064978,0.05166255143736014,0.30000000000000004,0.9618307534069652
OPPOST,20260808,9,same_01,OPPOST-WRONG-2,0.08684795076585236,0.7753161489963531,0.060455713707789765,0.07972123076091826,0.33333333333333337,0.9509556042741034
