artifact_rrmse,covariance,eta_d,eta_z,finite,heldout,inner_participants,kkt,offspan,output_input_rms,outside,preservation,psd,safe,units
1.4699639783526526,0.07960208152713384,1.0,0.001,1.0,sub-09,14,1.1193518004027849e-13,3.800099405399465e-16,0.9720878827812757,0.0,0.9266949152367215,0.03710395281850522,1,84
1.4693803207137823,0.07947210750301408,10.0,0.001,1.0,sub-09,14,1.0022967905378605e-13,3.792309405685042e-16,0.97208369317429,0.0,0.9268224461033986,0.03697145355422012,1,84
1.4512274293067535,0.07692753659070986,0.0,0.01,1.0,sub-09,14,7.951311566839216e-14,3.6628583654494907e-16,0.9721978039972273,0.0,0.9297480308976782,0.036418844980343215,1,84
1.4511720403370973,0.07691823140848664,0.1,0.01,1.0,sub-09,14,1.0204122599798469e-13,3.6622293344820097e-16,0.9721982075267765,0.0,0.9297583186411471,0.03640587543201447,1,84
1.4506881779036247,0.07683748925930393,1.0,0.01,1.0,sub-09,14,9.713030644337415e-14,3.657328085893726e-16,0.9722024070264698,0.0,0.9298469467500865,0.036244314878869005,1,84
1.4467073483943675,0.07619409156548153,10.0,0.01,1.0,sub-09,14,1.181330165964244e-13,3.608160479631859e-16,0.9722683933354025,0.0,0.9305323794833175,0.03516153543526651,1,84
1.3544139227909842,0.06593997026485218,0.0,0.1,1.0,sub-09,14,6.513308411134251e-14,2.731210568584804e-16,0.9750879489857714,0.0,0.9429154383804456,0.03164029580310951,1,84
1.3542053225883777,0.06591459937612416,0.1,0.1,1.0,sub-09,14,8.886344041566678e-14,2.7299736705748486e-16,0.9750967530403201,0.0,0.9429454625225178,0.03153153709644622,1,84
1.352478788657587,0.0656961868702928,1.0,0.1,1.0,sub-09,14,1.1191576765852352e-13,2.6990571223210566e-16,0.9751743656010823,0.0,0.9431936071895335,0.030750964683068614,1,84
1.3408936493001467,0.06399068947201043,10.0,0.1,1.0,sub-09,14,2.3405616069621395e-13,2.604992643346141e-16,0.9758209603084416,0.0,0.9448657749724626,0.026795941843092246,1,84
1.1578751436688242,0.039181001690366445,0.0,1.0,1.0,sub-09,14,5.726636096542713e-14,1.5270830476341778e-16,0.9861378004403198,0.0,0.9692298057236131,0.018352011679878023,1,84
1.1575484949548662,0.03912214235220714,0.1,1.0,1.0,sub-09,14,8.92434274627855e-14,1.5211006299379923e-16,0.9861582769885727,0.0,0.9692785788540774,0.01826242370645918,1,84
1.1550103657514448,0.038638639349237794,1.0,1.0,1.0,sub-09,14,1.4832579608992091e-13,1.5200871403926688e-16,0.9863252139788098,0.0,0.9696603184845894,0.017536187295062598,1,84
1.1414967744567928,0.03559992537222496,10.0,1.0,1.0,sub-09,14,6.855045631666491e-13,1.4979234361230621e-16,0.987345359381162,0.0,0.9717860951295253,0.013304296906388426,1,84
1.014465101868122,0.009212693411362617,0.0,10.0,1.0,sub-09,14,6.07344862233038e-14,1.313307985680749e-16,0.9967356825792851,0.0,0.9930423384742417,0.004807650487690592,1,84
1.014377268169841,0.009182830568318156,0.1,10.0,1.0,sub-09,14,9.207449617557965e-14,1.3161635443085606e-16,0.9967454964339831,0.0,0.9930647190675763,0.004719918530989179,1,84
1.0137654504828233,0.008953391858427974,1.0,10.0,1.0,sub-09,14,2.1713847651144967e-13,1.3180911066760848e-16,0.9968197741897394,0.0,0.9932268094241182,0.004234307769973829,1,84
