fold,participant,view,arm,donor,beta,distance,morphology_distance,topography_distance,dynamics_distance
2,3,time_shuffle,POP,,0.25,1.5726416110992432,1.9605505466461182,1.4690228700637817,1.2883514165878296
2,3,time_shuffle,MATCH,,0.25,1.5347379843393962,1.9444682598114014,1.387197732925415,1.272547960281372
2,3,time_shuffle,WRONG_MEAN,,0.25,1.5572893222173056,1.9872381687164307,1.3531963229179382,1.3314334750175476
2,8,time_shuffle,WRONG_DONOR,3,0.25,2.0668171644210815,3.5524353981018066,1.398897647857666,1.249118447303772
2,8,time_shuffle,WRONG_DONOR,13,0.25,2.119980772336324,3.5234971046447754,1.447555661201477,1.3888895511627197
2,8,time_shuffle,POP,,0.25,2.1016201178232827,3.5634350776672363,1.4782633781433105,1.2631618976593018
2,8,time_shuffle,MATCH,,0.25,1.951436718304952,3.4926326274871826,1.1547558307647705,1.2069216966629028
2,8,time_shuffle,WRONG_MEAN,,0.25,2.093398968378703,3.537966251373291,1.4232266545295715,1.3190039992332458
2,13,time_shuffle,WRONG_DONOR,3,0.25,0.9973726073900858,1.1728308200836182,0.9346882104873657,0.8845987915992737
2,13,time_shuffle,WRONG_DONOR,8,0.25,1.099773367245992,1.3082046508789062,1.0149933099746704,0.9761221408843994
2,13,time_shuffle,POP,,0.25,0.9867609143257141,1.1615256071090698,0.8699168562889099,0.9288402795791626
2,13,time_shuffle,MATCH,,0.25,1.0200966199239094,1.14882493019104,0.9235214591026306,0.9879434704780579
2,13,time_shuffle,WRONG_MEAN,,0.25,1.048572987318039,1.2405177354812622,0.9748407602310181,0.9303604662418365
2,3,wrong_condition,WRONG_DONOR,8,0.5,8.767462213834127,23.581207275390625,1.1895662546157837,1.5316131114959717
2,3,wrong_condition,WRONG_DONOR,13,0.5,11.620155731836954,31.028507232666016,2.0154194831848145,1.8165404796600342
2,3,wrong_condition,POP,,0.5,10.747732877731323,29.195032119750977,1.5706164836883545,1.4775500297546387
2,3,wrong_condition,MATCH,,0.5,7.2417774597803755,19.270702362060547,1.2589983940124512,1.1956316232681274
2,3,wrong_condition,WRONG_MEAN,,0.5,10.19380897283554,27.30485725402832,1.602492868900299,1.674076795578003
