fold_id,study,recording_key,method,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D10-CAL,0.0329499970639831,0.8132482916116714,0.09283866733312607,0.18917928893042643
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D01-CAL,0.030672082364366485,0.8070121705532074,0.08608336001634598,0.22165036771660113
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D11-CAL,0.03273644100007569,0.8073142468929291,0.09632080793380737,0.21265889152335005
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D10-SHUFFLED-GEOMETRY-CAL,0.0329499970639831,0.8132482916116714,0.09283866733312607,0.18917928893042643
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D01-SHUFFLED-LORA-CAL,0.030297254958864428,0.792129635810852,0.06167677417397499,0.24757052643997932
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D11-SHUFFLED-BOTH-CAL,0.032189309468557095,0.8095005601644516,0.09767869859933853,0.2442128743853666
study01_layout_01_heldout_01,study01,study01/study01_p05,RAW,0.0,1.0,0.0,0.0
study01_layout_01_heldout_01,study01,study01/study01_p05,DET-D00,0.04255781525842331,0.756801038980484,0.12116235494613647,0.21468686177016727
study01_layout_01_heldout_01,study01,study01/study01_p05,DET-D10,0.024543141962253837,0.7432174682617188,0.173973947763443,0.23320632885525175
study01_layout_01_heldout_01,study01,study01/study01_p05,DET-D01,0.039588477221670845,0.7930571138858795,0.1171727105975151,0.18497786246966016
study01_layout_01_heldout_01,study01,study01/study01_p05,DET-D11,0.026058818944248135,0.8411960154771805,0.07886825501918793,0.0944855916137896
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D00,0.040511168571638646,0.7701313644647598,0.1178356409072876,0.1874451972626044
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D10,0.024400140536178283,0.7487846314907074,0.17575077712535858,0.22288685919508755
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D01,0.040511168571638646,0.7701313644647598,0.1178356409072876,0.1874451972626044
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D11,0.027437092407189043,0.8098268210887909,0.09286737442016602,0.022710112216719765
study01_layout_01_heldout_01,study01,study01/study01_p05,DIFF-D10-SHUFFLED-GEOMETRY,0.02242521914364448,0.7415900528430939,0.19551599025726318,0.24321164242978696
