verifier,panel,participant,auroc,identity_margin,rank1,tar_at_far5
B-R,artifact_acquisition_only,1,0.9924999999999999,0.06050267815589905,1.0,0.95
B-R,artifact_acquisition_only,2,0.6187499999999999,0.00884778960607946,0.35,0.1
B-R,artifact_acquisition_only,3,0.9986149584487535,0.07757110148668289,1.0,1.0
B-R,artifact_acquisition_only,4,0.746875,0.017501612193882465,0.75,0.275
B-R,artifact_acquisition_only,5,0.3234072022160665,-0.015222311019897461,0.02631578947368421,0.0
B-R,artifact_acquisition_only,6,0.89625,0.04076416976749897,0.825,0.425
B-R,artifact_acquisition_only,7,0.9875346260387812,0.06368173658847809,1.0,0.9210526315789473
B-R,artifact_acquisition_only,8,0.7680055401662049,0.027006328105926514,0.5526315789473684,0.07894736842105263
B-R,artifact_acquisition_only,9,0.9210526315789473,0.05762684904038906,0.9736842105263157,0.6578947368421053
B-R,artifact_acquisition_only,10,0.850415512465374,0.03821035474538803,0.9210526315789473,0.7368421052631579
B-R,artifact_acquisition_only,11,0.9626038781163435,0.05708141811192036,0.9736842105263157,0.894736842105263
B-R,artifact_acquisition_only,12,0.9584487534626038,0.03992840461432934,0.9736842105263157,0.7894736842105263
B-R,artifact_acquisition_only,13,0.5332409972299168,0.0008561392314732075,0.3684210526315789,0.05263157894736842
B-R,artifact_acquisition_only,14,0.8746537396121884,0.045069143176078796,0.8421052631578947,0.47368421052631576
B-R,artifact_acquisition_only,15,0.5339335180055402,0.0031098402105271816,0.15789473684210525,0.02631578947368421
B-R,dropout10,1,0.6625,0.014609316480346024,0.55,0.275
B-R,dropout10,2,0.775,0.05640525883063674,0.575,0.45
B-R,dropout10,3,0.6018005540166205,0.02074109693057835,0.3157894736842105,0.0
B-R,dropout10,4,0.92875,0.090273542329669,0.9,0.7749999999999999
B-R,dropout10,5,0.7977839335180055,0.05355134140700102,0.763157894736842,0.4473684210526316
B-R,dropout10,6,0.734375,0.02475340384989977,0.6,0.32499999999999996
B-R,dropout10,7,0.42105263157894735,-0.010873662715312093,0.23684210526315788,0.05263157894736842
B-R,dropout10,8,0.5907202216066483,0.04494471359066665,0.5263157894736842,0.3157894736842105
B-R,dropout10,9,0.5796398891966759,0.01121764158597216,0.39473684210526316,0.05263157894736842
B-R,dropout10,10,0.7970914127423823,0.05131140165030956,0.6842105263157895,0.23684210526315788
B-R,dropout10,11,0.5630193905817175,0.008849515463225543,0.2894736842105263,0.05263157894736842
B-R,dropout10,12,0.8518005540166205,0.05780963972210884,0.7368421052631579,0.39473684210526316
B-R,dropout10,13,0.6475069252077562,0.029756827279925346,0.4473684210526316,0.0
B-R,dropout10,14,0.6613573407202216,0.03283191146329045,0.5526315789473684,0.13157894736842105
B-R,dropout10,15,0.5339335180055402,0.008160752360709012,0.4473684210526315,0.0
B-R,dropout20,1,0.6212500000000001,0.01268897985573858,0.475,0.25
B-R,dropout20,2,0.79,0.0523601952008903,0.6,0.5
B-R,dropout20,3,0.6038781163434903,0.019492999650537968,0.2894736842105263,0.07894736842105263
B-R,dropout20,4,0.90125,0.07936145178973675,0.85,0.675
B-R,dropout20,5,0.7811634349030471,0.04364018049091101,0.7105263157894737,0.39473684210526316
B-R,dropout20,6,0.6687500000000001,0.015692012384533882,0.575,0.225
B-R,dropout20,7,0.4127423822714681,-0.01070440505282022,0.23684210526315788,0.07894736842105263
B-R,dropout20,8,0.6087257617728532,0.04026296187657863,0.6052631578947368,0.39473684210526316
B-R,dropout20,9,0.5789473684210527,0.012532346183434129,0.3157894736842105,0.05263157894736842
B-R,dropout20,10,0.8074792243767313,0.04661784879863262,0.7105263157894737,0.13157894736842105
B-R,dropout20,11,0.5976454293628809,0.012002733536064625,0.42105263157894735,0.10526315789473684
B-R,dropout20,12,0.8552631578947367,0.05460147187113762,0.7894736842105263,0.4473684210526315
B-R,dropout20,13,0.6142659279778393,0.02503513966803439,0.3684210526315789,0.02631578947368421
B-R,dropout20,14,0.6731301939058172,0.027306048665195704,0.631578947368421,0.07894736842105263
B-R,dropout20,15,0.5297783933518005,0.009033742593601346,0.5,0.0
B-R,gain_normalized,1,0.95875,0.09183788672089577,0.9,0.7
B-R,gain_normalized,2,0.973125,0.13728274032473564,0.975,0.85
B-R,gain_normalized,3,0.7652354570637119,0.06304903328418732,0.5263157894736842,0.3157894736842105
B-R,gain_normalized,4,0.91875,0.15046071633696556,0.975,0.75
B-R,gain_normalized,5,0.8393351800554016,0.1187181081622839,0.8157894736842105,0.47368421052631576
B-R,gain_normalized,6,0.7893749999999999,0.04372946172952652,0.7,0.325
B-R,gain_normalized,7,0.9085872576177285,0.11320467665791512,0.8421052631578947,0.6052631578947368
B-R,gain_normalized,8,0.6308864265927978,0.09534438420087099,0.631578947368421,0.3684210526315789
